p,q,midpoint,mid_mod37,mid_dr,chi_p,chi_q,chi_mid
45341,45343,45342,17,9,-1,1,0
45587,45589,45588,4,3,-1,1,0
45821,45823,45822,16,3,-1,1,0
46049,46051,46050,22,6,-1,1,0
46091,46093,46092,27,3,-1,1,0
46181,46183,46182,6,3,-1,1,0
46271,46273,46272,22,3,-1,1,0
46307,46309,46308,21,3,-1,1,0
46349,46351,46350,26,9,-1,1,0
46439,46441,46440,5,9,-1,1,0
46589,46591,46590,7,6,-1,1,0
46679,46681,46680,23,6,-1,1,0
46769,46771,46770,2,6,-1,1,0
46817,46819,46818,13,9,-1,1,0
46829,46831,46830,25,3,-1,1,0
47057,47059,47058,31,6,-1,1,0
47147,47149,47148,10,6,-1,1,0
47351,47353,47352,29,3,-1,1,0
47387,47389,47388,28,3,-1,1,0
47417,47419,47418,21,6,-1,1,0
47657,47659,47658,2,3,-1,1,0
47699,47701,47700,7,9,-1,1,0
47711,47713,47712,19,3,-1,1,0
47741,47743,47742,12,6,-1,1,0
47777,47779,47778,11,6,-1,1,0
47807,47809,47808,4,9,-1,1,0
48119,48121,48120,20,6,-1,1,0
48311,48313,48312,27,9,-1,1,0
48407,48409,48408,12,6,-1,1,0
48479,48481,48480,10,6,-1,1,0
48539,48541,48540,33,3,-1,1,0
48647,48649,48648,30,3,-1,1,0
48677,48679,48678,23,6,-1,1,0
48731,48733,48732,3,6,-1,1,0
48779,48781,48780,14,9,-1,1,0
48821,48823,48822,19,6,-1,1,0
48857,48859,48858,18,6,-1,1,0
48869,48871,48870,30,9,-1,1,0
48989,48991,48990,2,3,-1,1,0
49031,49033,49032,7,9,-1,1,0
49121,49123,49122,23,9,-1,1,0
49169,49171,49170,34,3,-1,1,0
49199,49201,49200,27,6,-1,1,0
49277,49279,49278,31,3,-1,1,0
49331,49333,49332,11,3,-1,1,0
49367,49369,49368,10,3,-1,1,0
49391,49393,49392,34,9,-1,1,0
