p,rev_p,dr_p,dr_revp,product_dr,product_in_col1,diff,diff_dr,p_mod37,revp_mod37,same_mod37,chi_p,col_p
122533,335221,7,7,4,True,212688,9,26,1,False,1,COL1
122663,366221,2,2,4,True,243558,9,8,32,False,-1,COL2
122741,147221,8,8,1,True,24480,9,12,35,False,-1,COL2
122761,167221,1,1,1,True,44460,9,32,18,False,1,COL1
122777,777221,8,8,1,True,654444,9,11,36,False,-1,COL2
122867,768221,8,8,1,True,645354,9,27,27,True,-1,COL2
122891,198221,5,5,7,True,75330,9,14,12,False,-1,COL2
122921,129221,8,8,1,True,6300,9,7,17,False,-1,COL2
123017,710321,5,5,7,True,587304,9,29,32,False,-1,COL2
123091,190321,7,7,4,True,67230,9,29,30,False,1,COL1
123127,721321,7,7,4,True,598194,9,28,6,False,1,COL1
123143,341321,5,5,7,True,218178,9,7,33,False,-1,COL2
123217,712321,7,7,4,True,589104,9,7,34,False,1,COL1
123229,922321,1,1,1,True,799092,9,19,22,False,1,COL1
123289,982321,7,7,4,True,859032,9,5,8,False,1,COL1
123307,703321,7,7,4,True,580014,9,23,25,False,1,COL1
123379,973321,7,7,4,True,849942,9,21,36,False,1,COL1
123407,704321,8,8,1,True,580914,9,12,26,False,-1,COL2
123419,914321,2,2,4,True,790902,9,24,14,False,-1,COL2
123499,994321,1,1,1,True,870822,9,30,20,False,1,COL1
123527,725321,2,2,4,True,601794,9,21,10,False,-1,COL2
123553,355321,1,1,1,True,231768,9,10,10,True,1,COL1
123583,385321,4,4,7,True,261738,9,3,3,True,1,COL1
123593,395321,5,5,7,True,271728,9,13,13,True,-1,COL2
123667,766321,7,7,4,True,642654,9,13,14,False,1,COL1
123707,707321,2,2,4,True,583614,9,16,29,False,-1,COL2
123731,137321,8,8,1,True,13590,9,3,14,False,-1,COL2
123817,718321,4,4,7,True,594504,9,15,3,False,1,COL1
123821,128321,8,8,1,True,4500,9,19,5,False,-1,COL2
123833,338321,2,2,4,True,214488,9,31,30,False,-1,COL2
123887,788321,2,2,4,True,664434,9,11,36,False,-1,COL2
123923,329321,2,2,4,True,205398,9,10,21,False,-1,COL2
123989,989321,5,5,7,True,865332,9,2,15,False,-1,COL2
124087,780421,4,4,7,True,656334,9,26,17,False,1,COL1
124097,790421,5,5,7,True,666324,9,36,27,False,-1,COL2
124139,931421,2,2,4,True,807282,9,4,20,False,-1,COL2
124181,181421,8,8,1,True,57240,9,9,10,False,-1,COL2
124231,132421,4,4,7,True,8190,9,22,35,False,1,COL1
124303,303421,4,4,7,True,179118,9,20,21,False,1,COL1
124309,903421,1,1,1,True,779112,9,26,29,False,1,COL1
124339,933421,4,4,7,True,809082,9,19,22,False,1,COL1
124349,943421,5,5,7,True,819072,9,29,32,False,-1,COL2
124351,153421,7,7,4,True,29070,9,31,19,False,1,COL1
124429,924421,4,4,7,True,799992,9,35,13,False,1,COL1
124433,334421,8,8,1,True,209988,9,2,15,False,-1,COL2
124489,984421,1,1,1,True,859932,9,21,36,False,1,COL1
124513,315421,7,7,4,True,190908,9,8,33,False,1,COL1
124643,346421,2,2,4,True,221778,9,27,27,True,-1,COL2
124739,937421,8,8,1,True,812682,9,12,26,False,-1,COL2
124753,357421,4,4,7,True,232668,9,26,1,False,1,COL1
124771,177421,4,4,7,True,52650,9,7,6,False,1,COL1
124777,777421,1,1,1,True,652644,9,13,14,False,1,COL1
124823,328421,2,2,4,True,203598,9,22,9,False,-1,COL2
124907,709421,5,5,7,True,584514,9,32,20,False,-1,COL2
124919,919421,8,8,1,True,794502,9,7,8,False,-1,COL2
124951,159421,4,4,7,True,34470,9,2,25,False,1,COL1
124981,189421,7,7,4,True,64440,9,32,18,False,1,COL1
125053,350521,7,7,4,True,225468,9,30,20,False,1,COL1
125219,912521,2,2,4,True,787302,9,11,27,False,-1,COL2
125243,342521,8,8,1,True,217278,9,35,12,False,-1,COL2
125299,992521,1,1,1,True,867222,9,17,33,False,1,COL1
125383,383521,4,4,7,True,258138,9,27,16,False,1,COL1
125407,704521,1,1,1,True,579114,9,14,4,False,1,COL1
125507,705521,2,2,4,True,580014,9,3,5,False,-1,COL2
